"date","confirmed_new","confirmed_total","deaths_new","deaths_total","recovered_new","recovered_total","active_new","active_total","tested_new","tested_total","hospitalised","hospitalised_intensive"
2020-02-25,0,0,0,0,0,0,0,0,5,5,1,0
2020-02-26,1,1,0,0,0,0,1,1,8,13,1,0
2020-02-27,0,1,0,0,0,0,0,1,10,23,1,0
2020-02-28,0,1,0,0,0,0,0,1,13,36,1,0
2020-02-29,0,1,0,0,0,0,0,1,8,44,1,0
2020-03-01,0,1,0,0,0,0,0,1,18,62,1,0
2020-03-02,1,2,0,0,0,0,1,2,22,84,1,0
2020-03-03,0,2,0,0,0,0,0,2,29,113,1,0
2020-03-04,1,3,0,0,0,0,1,3,36,149,1,0
2020-03-05,7,10,0,0,0,0,7,10,35,184,1,0
2020-03-06,0,10,0,0,0,0,0,10,71,255,1,0
2020-03-07,0,10,0,0,0,0,0,10,29,284,1,0
2020-03-08,0,10,0,0,0,0,0,10,20,304,1,0
2020-03-09,3,13,0,0,0,0,3,13,64,368,1,0
2020-03-10,2,15,0,0,0,0,2,15,57,425,1,0
2020-03-11,3,18,0,0,0,0,3,18,65,490,1,0
2020-03-12,40,58,0,0,0,0,40,58,131,621,1,0
2020-03-13,44,102,0,0,1,1,43,101,183,804,0,0
2020-03-14,23,125,0,0,0,1,23,124,163,967,2,0
2020-03-15,75,200,0,0,0,1,75,199,495,1462,3,0
2020-03-16,25,225,0,0,0,1,25,224,305,1767,3,0
2020-03-17,22,247,0,0,0,1,22,246,191,1958,3,0
2020-03-18,28,275,0,0,0,1,28,274,539,2497,8,0
2020-03-19,28,303,0,0,1,2,27,301,351,2848,10,0
2020-03-20,12,315,0,0,0,2,12,313,392,3240,14,2
2020-03-21,41,356,0,0,2,4,39,352,637,3877,15,4
2020-03-22,13,369,0,0,3,7,10,362,160,4037,17,6
2020-03-23,24,393,0,0,1,8,23,385,495,4532,28,7
2020-03-24,75,468,1,1,0,8,74,459,1403,5935,29,7
2020-03-25,55,523,0,1,3,11,52,511,1047,6982,34,7
2020-03-26,36,559,0,1,0,11,36,547,1139,8121,40,7
2020-03-27,65,624,0,1,9,20,56,603,1253,9374,48,10
2020-03-28,39,663,2,3,0,20,37,640,1035,10409,56,10
2020-03-29,31,694,0,3,0,20,31,671,851,11260,79,13
2020-03-30,34,728,1,4,6,26,27,698,1153,12413,91,13
2020-03-31,58,786,1,5,7,33,50,748,1977,14390,95,15
2020-04-01,78,864,6,11,12,45,60,808,1372,15762,85,16
2020-04-02,93,957,1,12,3,48,89,897,2506,18268,90,16
2020-04-03,74,1031,1,13,11,59,62,959,1532,19800,113,20
2020-04-04,62,1093,2,15,3,62,57,1016,1186,20986,130,17
2020-04-05,11,1104,4,19,0,62,7,1023,859,21845,129,14
2020-04-06,42,1146,2,21,7,69,33,1056,1679,23524,130,12
2020-04-07,36,1182,3,24,3,72,30,1086,1273,24797,139,11
2020-04-08,23,1205,0,24,11,83,12,1098,1605,26402,134,9
2020-04-09,51,1256,0,24,10,93,41,1139,1466,27868,138,9
2020-04-10,45,1301,0,24,0,93,45,1184,1570,29438,146,11
2020-04-11,5,1306,1,25,5,98,-1,1183,895,30333,153,11
2020-04-12,19,1325,2,27,4,102,13,1196,409,30742,157,9
2020-04-13,44,1369,4,31,13,115,27,1223,1508,32250,146,11
2020-04-14,29,1398,4,35,2,117,23,1246,1706,33956,147,10
2020-04-15,34,1432,1,36,16,133,17,1263,2051,36007,137,10
2020-04-16,25,1457,2,38,12,145,11,1274,1572,37579,129,11
2020-04-17,53,1510,0,38,17,162,36,1310,2017,39596,122,11
2020-04-18,16,1526,2,40,2,164,12,1322,722,40318,125,10
2020-04-19,7,1533,0,40,1,165,6,1328,599,40917,128,9
2020-04-20,17,1550,3,43,4,169,10,1338,1288,42205,124,9
2020-04-21,7,1557,1,44,15,184,-9,1329,1421,43626,114,7
2020-04-22,32,1589,1,45,8,192,23,1352,1547,45173,109,7
2020-04-23,16,1605,1,46,14,206,1,1353,1108,46281,103,6
2020-04-24,29,1634,0,46,22,228,7,1360,1041,47322,99,6
2020-04-25,9,1643,3,49,5,233,1,1361,603,47925,94,6
2020-04-26,4,1647,1,50,7,240,-4,1357,470,48395,95,9
2020-04-27,10,1657,0,50,-4,236,14,1371,1109,49504,91,10
2020-04-28,9,1666,0,50,0,236,9,1380,1671,51175,89,10
2020-04-29,23,1689,2,52,13,249,8,1388,1561,52736,75,9
2020-04-30,5,1694,0,52,4,253,1,1389,1031,53767,72,7
2020-05-01,5,1699,1,53,3,256,1,1390,696,54463,74,7
2020-05-02,1,1700,2,55,3,259,-4,1386,741,55204,75,7
2020-05-03,3,1703,0,55,0,259,3,1389,580,55784,77,6
2020-05-04,8,1711,0,55,2,261,6,1395,1630,57414,70,6
2020-05-05,2,1713,0,55,3,264,-1,1394,1541,58955,67,4
2020-05-06,7,1720,2,57,9,273,-4,1390,1533,60488,61,4
2020-05-07,5,1725,2,59,4,277,-1,1389,1278,61766,58,5
2020-05-08,8,1733,1,60,8,285,-1,1388,954,62720,48,5
2020-05-09,6,1739,0,60,0,285,6,1394,652,63372,51,5
2020-05-10,2,1741,1,61,2,287,-1,1393,585,63957,48,5
2020-05-11,5,1746,0,61,2,289,3,1396,1018,64975,48,5
